,target
0,-0.051285335663738656
1,-0.03137497966416715
2,-0.0120994876660093
3,-0.05605945758331706
4,0.002945969700771247
5,-0.01956762388058664
6,-0.0007606473072195169
7,-0.062019065570672764
8,-0.036058805198735715
9,-0.05669536266738608
10,-0.04844131033939345
11,-0.06512694642796764
12,0.022586176733347854
13,0.18828482134345922
14,-0.04499726000821185
15,-0.027883262479073037
16,-0.05811443718309086
17,-0.053736575416324
18,-0.01707673662938424
19,-0.05687913851897453
20,-0.012506121492741872
21,0.18474150862874092
22,0.18845489399709772
23,-0.0024750558520873064
24,0.0036780439004376986
25,-0.02570629105119262
26,0.034888468494869956
27,0.15911956425487622
28,-0.04457657236215018
29,-0.01959898206057016
30,0.06649508986493138
31,-0.04289732204326761
32,-0.07726317184494791
33,-0.0028902501533789645
34,-0.06455297518687746
35,-0.02073205902353531
36,-0.06928417679231552
37,-0.040293872459494805
38,-0.09066624041029572
39,0.035222653602936575
40,0.10805830039547473
41,-0.032599830678105665
42,0.0033806823814190377
43,0.15843930123529054
44,-0.054708135182320816
45,-0.039384798655880605
46,-0.07838669664309139
47,-0.05472776541907432
48,0.13127591227712962
49,-0.06961265861486318
50,-0.0626497425710324
51,-0.04068533656806945
52,-0.04730514467001063
53,-0.051060506799735964
54,0.1055082910696006
55,-0.03978611290425437
56,-0.049019050155079916
57,-0.05374301319269611
58,-0.06429469879419517
59,-0.04071480893766068
60,-0.03916043339839589
61,-0.010729436548776956
62,-0.04403798476800114
63,0.15089125035350467
64,-0.00960141649851658
65,-0.021462090262004383
66,-0.071838183984195
67,0.16931340598523228
68,-0.04639698892352063
69,0.19122766620321102
70,0.006530469628639532
71,0.04144902893853762
72,-0.04617539049536848
73,-0.01293574392264929
74,-0.04294375141567281
75,-0.060259683988941645
76,-0.0501213663673672
77,-0.03230114449541718
78,0.0031700007391446136
79,-0.038026481195073666
80,0.10822975793443361
81,-0.038923152419646626
82,0.047416445047184314
83,0.013136214948174085
84,-0.06162157397291284
85,-0.06995376312513392
86,-0.020198292112263014
87,0.002850093583439023
88,0.002790049402362945
89,-0.06215512184084692
90,-0.0203041766003179
91,-0.03430443256450644
92,0.016233896531635306
93,-0.014577804500302178
94,0.0024386607388937774
95,-0.041952439577507605
96,-0.06874232298424857
97,-0.033691741687608405
98,-0.01967505287896403
99,-0.00753075244532521
100,0.11917400246749633
101,0.022153671759998755
102,-0.008846731440486873
103,-0.04484924285770801
104,-0.07321472976725091
105,-0.011741602864492032
106,-0.03694484576033619
107,-0.03315985336464905
108,-0.08412605151904182
109,-0.02940768128687706
110,0.009396766701901534
111,-0.04844131033939345
112,-0.02236612346019806
113,-0.04832838714043343
114,0.11625492338335408
115,-0.07296637365513056
116,-0.0037527300052829374
117,-0.0380459188058937
118,-0.015659144728853238
119,-0.031599061528798676
120,0.1492570289930394
121,-0.0533267712729911
122,0.18459819670056127
123,-0.0010789758671914595
124,0.10703776596414306
125,-0.04255437613319729
126,-0.014447390324718661
127,-0.03235171520883001
128,0.0005413849696172282
129,-0.04089273609742706
130,-0.008923382153540434
131,0.03247451824609767
132,-0.049259798015335025
133,-0.06747082524879314
134,-0.05662095303430562
135,0.17507679744824334
136,-0.04024667126622866
137,0.00226822735697192
138,-0.024865731715999723
139,-0.030142422614812023
140,-0.049222477414276815
141,-0.04489748445874826
142,-0.009813547300493462
143,-0.051154651106116014
144,-0.05116197080531573
145,-0.019671729315361364
146,0.12392307879280477
147,-0.04855144698603097
148,-0.09070731625666294
149,-0.06902353431188547
150,-0.05873909408354619
151,-0.00019343336388142436
152,-0.03781641659732431
153,-0.05763992652340577
154,0.04675277579055884
155,-0.04621467788039936
156,-0.05624942534035257
157,-0.024512574100447146
158,0.13875016773831375
159,-0.053435029768244824
160,-0.027897766064220692
161,0.003289209117117863
162,0.0005413849696172282
163,-0.010334267709872795
164,-0.05143352105453297
165,-0.05919757434796028
166,-0.06251782940033276
167,-0.06284614334787866
168,0.00931168453319092
169,0.0011136730221595877
170,0.17332682517743506
171,-0.03433786979124528
172,-0.054182910988164516
173,-0.017958237522367266
174,0.004247904344220281
175,0.10498810249584535
176,-0.02915163197361453
177,-0.03674611697840749
178,-0.024880923539625687
179,-0.056060524780136095
180,-0.046636836165799375
181,-0.038020750044147386
182,0.1691851021106624
183,-0.06437650168632104
184,-0.02940768128687706
185,0.03619829608651487
186,-0.04196017716276426
187,-0.08267772587102974
188,0.1044815001342434
189,-0.011737926259101418
190,-0.028558623116214227
191,-0.0843325313967927
192,-0.03171371873117732
193,0.13106607430776368
194,-0.031017328304221044
195,0.1487213536245058
196,-0.049876108449155986
197,0.09806098244490968
198,-0.07124214314935863
199,-0.06031745621730501
200,-0.03268606946475251
201,-0.0036975764201838436
202,-0.06211504343635619
203,-0.03555428504698193
204,-0.009242548808475515
205,0.1473302504847355
206,-0.0700616124977188
207,-0.01699894233666946
208,0.16895938350663242
209,-0.06796404388850419
210,-0.05819703848869652
211,-0.062226622472485844
212,-0.052114242363516715
213,0.17488379769275533
214,-0.03378774124856816
215,-0.043328774510808625
216,-0.0713488210560788
217,0.16894720335639815
218,-0.061996782239708996
219,-0.030112783700457436
220,0.13729375295558785
221,-0.033334856167776344
222,0.17198701540284536
223,0.13888621394437842
224,0.05352451023436356
225,-0.02915462262737837
226,-0.04507571548447111
227,-0.03379991664225454
228,-0.03117069936388981
229,0.06954475579984817
230,-0.020538900170179283
231,-0.009242548808475515
232,-0.016696885920862953
233,-0.05069630712526612
234,-0.03707101202838287
235,-0.0797923851200614
236,0.22518824786125996
237,-0.02281475163318717
238,0.029276096758014458
239,-0.03350352268835749
240,0.1359217374555938
241,-0.05192219681923547
242,-0.04237511767634326
243,-0.0304123370270112
244,-0.049699303488794214
245,-0.04405289638859325
246,-0.06520743886226778
247,0.09886998345800965
248,0.12601385598003478
249,-0.035234279709686185
250,-0.045440487051050305
251,-0.0637042500288475
252,-0.01782618784291614
253,-0.054872883763275614
254,0.03094014934329516
255,0.18714760575391864
256,0.029112723689559587
257,-0.033433483980931857
258,-0.05124211983234548
259,-0.00013400501466356184
260,-0.03684998040253037
261,-0.03538543745019391
262,-0.015156740602244574
263,-0.010353629231765546
264,-0.04747182581683137
265,-0.024433619967130595
266,0.008070537089202632
267,0.04237760652984923
268,-0.06485657932808477
269,-0.06463139364955607
270,-0.020666616617300362
271,-0.0010919478425348854
272,0.043026579547831866
273,0.14165193701208703
274,-0.03862806226124476
275,-0.05752914433574286
276,-0.002656748790551147
277,-0.035579776080860166
278,-0.06023753006269019
279,0.027390440422323824
280,-0.059749418532087345
281,-0.01783922207470981
282,-0.0010309439138431842
283,0.14695516197946443
284,0.15192777324032702
285,-0.0010309439138431842
286,0.17802235014469298
287,-0.09638363588075534
288,-0.04677093836505244
289,-0.03980989029607817
290,0.054378971248082816
291,-0.052026074861333066
292,-0.007784505417425968
293,0.050208421094296164
294,-0.026088623478635813
295,-0.017583689227718226
296,-0.04990451115574714
297,-0.02026871255980716
298,-0.0283267226039687
299,-0.07225509370714897
300,-0.048154210811626325
301,-0.0075373807330867786
