,id,atm_group,address,address_rus,lat,long,target,isTrain,test
0,8526.0,32.0,"EMELYANOVA,34          Y-SAKHALINSK   ","улица А.О. Емельянова, 34, Южно-Сахалинск, Сахалинская область, Россия",46.940995,142.738319,0.011499820918204876,True,"[OrderedDict([('lat', '46.95407'), ('lon', '142.73603'), ('name', 'Yuzhno-Sakhalinsk'), ('admin1', 'Sakhalin'), ('admin2', ''), ('cc', 'RU')])]"
1,8532.0,32.0,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",46.937353,142.753348,0.029710265035085937,True,"[OrderedDict([('lat', '46.95407'), ('lon', '142.73603'), ('name', 'Yuzhno-Sakhalinsk'), ('admin1', 'Sakhalin'), ('admin2', ''), ('cc', 'RU')])]"
2,8533.0,32.0,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",46.959413,142.74111299999998,0.009539960883255441,True,"[OrderedDict([('lat', '46.95407'), ('lon', '142.73603'), ('name', 'Yuzhno-Sakhalinsk'), ('admin1', 'Sakhalin'), ('admin2', ''), ('cc', 'RU')])]"
3,8684.0,32.0,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",55.805827,37.515146,-0.09403462447649943,True,"[OrderedDict([('lat', '55.8'), ('lon', '37.51667'), ('name', 'Sokol'), ('admin1', 'Moscow'), ('admin2', ''), ('cc', 'RU')])]"
4,37.0,32.0,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.07927735200966299,True,"[OrderedDict([('lat', '69.3535'), ('lon', '88.2027'), ('name', 'Norilsk'), ('admin1', 'Krasnoyarskiy'), ('admin2', ''), ('cc', 'RU')])]"
5,313.0,32.0,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",43.165859999999995,131.90821200000002,-0.14500123147475488,True,"[OrderedDict([('lat', '43.10562'), ('lon', '131.87353'), ('name', 'Vladivostok'), ('admin1', 'Primorskiy'), ('admin2', ''), ('cc', 'RU')])]"
6,335.0,32.0,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",55.716859,37.613063000000004,-0.02468223523576437,True,"[OrderedDict([('lat', '55.73333'), ('lon', '37.63333'), ('name', ""Zamoskvorech'ye""), ('admin1', 'Moscow'), ('admin2', ''), ('cc', 'RU')])]"
7,358.0,32.0,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",43.117174,131.885503,-0.13342588349623222,True,"[OrderedDict([('lat', '43.10562'), ('lon', '131.87353'), ('name', 'Vladivostok'), ('admin1', 'Primorskiy'), ('admin2', ''), ('cc', 'RU')])]"
8,2895.0,32.0,Zhivopisnaia 136       d.Velednikov   ,"деревня Веледниково, городской округ Истра, Московская область, Россия",55.799765,37.116015999999995,0.14146935333316155,True,"[OrderedDict([('lat', '55.81517'), ('lon', '37.08246'), ('name', 'Pavlovskaya Sloboda'), ('admin1', 'Moskovskaya'), ('admin2', ''), ('cc', 'RU')])]"
9,1975.0,496.5,BEKESHSKAYA 39            PENZA       ,"Бекешская улица, 39, Пенза, Россия, 440018",53.203219999999995,44.978826,0.01725893326633763,True,"[OrderedDict([('lat', '53.20066'), ('lon', '45.00464'), ('name', 'Penza'), ('admin1', 'Penza'), ('admin2', ''), ('cc', 'RU')])]"
